PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
505973;"Frigideira Expert Pro 24Cm X 5Cm 1,6L - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_expert_pro_24cm_x_5cm_1_6l_brinox_505973_1_16a3c44dca546e14ba46281897062360_20240123153228.jpg;;;;
505971;"Frigideira Expert Pro 28Cm X 5,5Cm 2,55L - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_expert_pro_28_x_5_5_cm_2_55_l_brinox_505971_1_16a3c44dca546e14ba46281897062360_20240123153227.jpg;;;;
505977;Frigideira Expert Pro 32Cm X 6Cm 4L - Brinox;https://images.tcdn.com.br/img/img_prod/1265869/frigideira_expert_pro_32cm_x_6cm_4l_brinox_505977_1_16a3c44dca546e14ba46281897062360_20240123153228.jpg;;;;
507557;"Frigideira Funda Loreto Alumínio Antiaderente Grafite 28 Cm 3,3 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_funda_loreto_aluminio_antiaderente_grafite_28_cm_3_3_l_tramontina_507557_1_545d2beccc53fa873a48c6b1abbb3b04_20240123153518.jpg;;;;
507515;"Frigideira Funda Loreto Em Alumínio Antiaderente Vermelho 28 Cm 3,3 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_funda_loreto_em_aluminio_antiaderente_vermelho_28_cm_3_3_l_tramontina_507515_1_d04e08844760e5dbe126bf04011762ad_20240123153511.jpg;;;;
507511;"Frigideira Funda Loreto Em Alumínio Antiaderentevermelho 24 Cm 2,2 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_funda_loreto_em_aluminio_antiaderentevermelho_24_cm_2_2_l_tramontina_507511_1_751cb5d0623e517c04a6953291c9a884_20240123153509.jpg;;;;
507387;Frigideira Fundida Eclipse 32 Polido- Ingá Alumínios;https://images.tcdn.com.br/img/img_prod/1265869/frigideira_fundida_eclipse_32_polido_inga_aluminios_507387_1_133aee38fff76d63ed57697a760409d1_20240123153447.jpg;;;;
507373;Frigideira Fundida Eclipse 32 Vermelho Morango - Ingá Alumínios;https://images.tcdn.com.br/img/img_prod/1265869/frigideira_fundida_eclipse_32_vermelho_morango_inga_aluminios_507373_1_f39f95298caaad7a47bc57401ebfece3_20240123153444.jpg;;;;
506809;"Frigideira Paella 6,5L 48Cm (Diâmetro) - 4Cm(Altura)";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_paella_6_5l_48cm_diametro_4cm_altura_506809_1_0eedb0d49005f0cbcd7f3e7940762c28_20240123153306.png;;;;
506725;"Frigideira Paella Com Tampa De Vidro 5,6L";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_paella_com_tampa_de_vidro_5_6l_506725_1_79393bf120a7cf94130fc7c6720b87c6_20240123153254.jpg;;;;
506735;"Frigideira Paella S/Tampa 5,6L";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_paella_s_tampa_5_6l_506735_1_db1d111b0784c2659157e5a99efd266d_20240123153255.jpg;;;;
507751;Frigideira Profissional Alumínio Revestimento Interno Cerâmico Com Cabo De Aço Inox E Silicone 24 Cm 2 L - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/frigideira_profissional_em_aluminio_com_revestimento_interno_ceramico_e_acabamento_externo_lixado_co_507751_1_c1ba57db749caa59ed7ee0e3913616fa_20240123153548.jpg;;;;
507753;"Frigideira Profissional Alumínio Revestimento Interno Cerâmico Com Cabo De Aço Inox E Silicone 32 Cm 4,3 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_profissional_aluminio_revestimento_interno_ceramico_com_cabo_de_aco_inox_e_silicone_32_cm_507753_1_300c852804e3bbc5ad71de3c068d3e08_20240123153548.jpg;;;;
507759;"Frigideira Profissional Em Alumínio Antiaderente 28 Cm 3,2 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_profissional_em_aluminio_antiaderente_28_cm_3_2_l_tramontina_507759_1_58fcec2744ae4e4f821e1945f2ff3237_20240123153549.jpg;;;;
